Region,Annee,Frequentation
NOUVELLE AQUITAINE,2001,"14,53"
OCCITANIE,2001,"14,30"
PAYS DE LA LOIRE,2001,"9,12"
PROVENCE-ALPES-COTE D'AZUR,2001,"15,86"
AUVERGNE-RHONE-ALPES,2002,"22,56"
BOURGOGNE-FRANCHE-COMTE,2002,"5,77"
BRETAGNE,2002,"6,89"
CENTRE-VAL DE LOIRE,2002,"5,33"
CORSE,2002,"0,35"
GRAND EST,2002,"14,11"
HAUTS-DE-FRANCE,2002,"13,00"
ILE-DE-FRANCE,2002,"55,05"
NORMANDIE,2002,"7,86"
NOUVELLE AQUITAINE,2002,"14,48"
OCCITANIE,2002,"14,56"
PAYS DE LA LOIRE,2002,"8,88"
PROVENCE-ALPES-COTE D'AZUR,2002,"15,56"
AUVERGNE-RHONE-ALPES,2003,"20,64"
BOURGOGNE-FRANCHE-COMTE,2003,"5,45"
BRETAGNE,2003,"6,62"
CENTRE-VAL DE LOIRE,2003,"4,95"
CORSE,2003,"0,33"
GRAND EST,2003,"13,13"
HAUTS-DE-FRANCE,2003,"12,02"
ILE-DE-FRANCE,2003,"53,50"
NORMANDIE,2003,"7,12"
NOUVELLE AQUITAINE,2003,"13,30"
OCCITANIE,2003,"13,40"
PAYS DE LA LOIRE,2003,"8,32"
PROVENCE-ALPES-COTE D'AZUR,2003,"14,69"
AUVERGNE-RHONE-ALPES,2004,"23,49"
BOURGOGNE-FRANCHE-COMTE,2004,"6,38"
BRETAGNE,2004,"7,86"
CENTRE-VAL DE LOIRE,2004,"5,50"
CORSE,2004,"0,43"
GRAND EST,2004,"15,04"
HAUTS-DE-FRANCE,2004,"13,65"
ILE-DE-FRANCE,2004,"58,27"
NORMANDIE,2004,"8,58"
NOUVELLE AQUITAINE,2004,"15,38"
OCCITANIE,2004,"15,42"
PAYS DE LA LOIRE,2004,"9,49"
PROVENCE-ALPES-COTE D'AZUR,2004,"16,36"
AUVERGNE-RHONE-ALPES,2005,"20,78"
BOURGOGNE-FRANCHE-COMTE,2005,"5,58"
BRETAGNE,2005,"7,01"
CENTRE-VAL DE LOIRE,2005,"4,76"
CORSE,2005,"0,29"
GRAND EST,2005,"13,40"
HAUTS-DE-FRANCE,2005,"12,35"
ILE-DE-FRANCE,2005,"53,86"
NORMANDIE,2005,"7,49"
NOUVELLE AQUITAINE,2005,"13,42"
OCCITANIE,2005,"13,85"
PAYS DE LA LOIRE,2005,"8,35"
PROVENCE-ALPES-COTE D'AZUR,2005,"14,48"
AUVERGNE-RHONE-ALPES,2006,"22,11"
BOURGOGNE-FRANCHE-COMTE,2006,"6,36"
BRETAGNE,2006,"8,15"
CENTRE-VAL DE LOIRE,2006,"5,35"
CORSE,2006,"0,30"
GRAND EST,2006,"14,54"
HAUTS-DE-FRANCE,2006,"13,54"
ILE-DE-FRANCE,2006,"55,96"
NORMANDIE,2006,"8,56"
NOUVELLE AQUITAINE,2006,"14,85"
OCCITANIE,2006,"14,57"
PAYS DE LA LOIRE,2006,"9,32"
PROVENCE-ALPES-COTE D'AZUR,2006,"15,14"
AUVERGNE-RHONE-ALPES,2007,"20,92"
BOURGOGNE-FRANCHE-COMTE,2007,"5,92"
BRETAGNE,2007,"7,76"
CENTRE-VAL DE LOIRE,2007,"5,08"
CORSE,2007,"0,30"
GRAND EST,2007,"13,99"
HAUTS-DE-FRANCE,2007,"12,93"
ILE-DE-FRANCE,2007,"52,15"
NORMANDIE,2007,"7,81"
NOUVELLE AQUITAINE,2007,"14,11"
OCCITANIE,2007,"14,18"
PAYS DE LA LOIRE,2007,"8,99"
PROVENCE-ALPES-COTE D'AZUR,2007,"14,35"
AUVERGNE-RHONE-ALPES,2008,"22,10"
BOURGOGNE-FRANCHE-COMTE,2008,"6,32"
BRETAGNE,2008,"8,45"
CENTRE-VAL DE LOIRE,2008,"5,75"
CORSE,2008,"0,30"
GRAND EST,2008,"14,93"
HAUTS-DE-FRANCE,2008,"14,46"
ILE-DE-FRANCE,2008,"54,92"
NORMANDIE,2008,"8,47"
NOUVELLE AQUITAINE,2008,"14,74"
OCCITANIE,2008,"15,05"
PAYS DE LA LOIRE,2008,"9,60"
PROVENCE-ALPES-COTE D'AZUR,2008,"15,21"
AUVERGNE-RHONE-ALPES,2009,"23,76"
BOURGOGNE-FRANCHE-COMTE,2009,"6,43"
BRETAGNE,2009,"9,12"
CENTRE-VAL DE LOIRE,2009,"6,33"
CORSE,2009,"0,37"
GRAND EST,2009,"15,60"
HAUTS-DE-FRANCE,2009,"14,32"
ILE-DE-FRANCE,2009,"58,31"
NORMANDIE,2009,"8,76"
NOUVELLE AQUITAINE,2009,"15,75"
OCCITANIE,2009,"16,38"
PAYS DE LA LOIRE,2009,"10,20"
PROVENCE-ALPES-COTE D'AZUR,2009,"16,28"
AUVERGNE-RHONE-ALPES,2010,"24,86"
BOURGOGNE-FRANCHE-COMTE,2010,"6,55"
BRETAGNE,2010,"9,28"
CENTRE-VAL DE LOIRE,2010,"6,44"
CORSE,2010,"0,39"
GRAND EST,2010,"15,45"
HAUTS-DE-FRANCE,2010,"14,87"
ILE-DE-FRANCE,2010,"58,37"
NORMANDIE,2010,"9,08"
NOUVELLE AQUITAINE,2010,"16,45"
OCCITANIE,2010,"17,06"
PAYS DE LA LOIRE,2010,"10,86"
PROVENCE-ALPES-COTE D'AZUR,2010,"17,42"
AUVERGNE-RHONE-ALPES,2011,"25,70"
BOURGOGNE-FRANCHE-COMTE,2011,"6,95"
BRETAGNE,2011,"9,96"
CENTRE-VAL DE LOIRE,2011,"6,89"
CORSE,2011,"0,40"
GRAND EST,2011,"16,51"
HAUTS-DE-FRANCE,2011,"16,41"
ILE-DE-FRANCE,2011,"60,29"
NORMANDIE,2011,"9,85"
NOUVELLE AQUITAINE,2011,"17,19"
OCCITANIE,2011,"17,78"
PAYS DE LA LOIRE,2011,"11,55"
PROVENCE-ALPES-COTE D'AZUR,2011,"17,72"
AUVERGNE-RHONE-ALPES,2012,"24,09"
BOURGOGNE-FRANCHE-COMTE,2012,"6,40"
BRETAGNE,2012,"9,47"
CENTRE-VAL DE LOIRE,2012,"6,44"
CORSE,2012,"0,35"
GRAND EST,2012,"15,46"
HAUTS-DE-FRANCE,2012,"15,10"
ILE-DE-FRANCE,2012,"57,60"
NORMANDIE,2012,"8,98"
NOUVELLE AQUITAINE,2012,"15,97"
OCCITANIE,2012,"16,41"
PAYS DE LA LOIRE,2012,"10,70"
PROVENCE-ALPES-COTE D'AZUR,2012,"16,61"
AUVERGNE-RHONE-ALPES,2013,"23,46"
BOURGOGNE-FRANCHE-COMTE,2013,"6,32"
BRETAGNE,2013,"8,74"
CENTRE-VAL DE LOIRE,2013,"6,02"
CORSE,2013,"0,34"
GRAND EST,2013,"14,59"
